sku,description,category,brand,size,material,thread,length,uom,pack_qty,unit_price,status,replaced_by
HHCS-1/4-20x2-1/2-ZP,"Hex Cap Screw 1/4""-20 x 2-1/2"" Zinc Plated",hex_cap_screw,Torqline,1/4,ZP,20,2-1/2,EA,1,0.48,active,
HHCS-1/4-20x2-1/2-PL,"Hex Cap Screw 1/4""-20 x 2-1/2"" Plain Steel",hex_cap_screw,Torqline,1/4,PL,20,2-1/2,EA,1,0.42,active,
HHCS-1/4-20x3-SS,"Hex Cap Screw 1/4""-20 x 3"" 18-8 Stainless",hex_cap_screw,Torqline,1/4,SS,20,3,EA,1,1.35,active,
HHCS-1/4-20x3-ZP,"Hex Cap Screw 1/4""-20 x 3"" Zinc Plated",hex_cap_screw,Torqline,1/4,ZP,20,3,EA,1,0.54,active,
HHCS-1/4-20x3-PL,"Hex Cap Screw 1/4""-20 x 3"" Plain Steel",hex_cap_screw,Torqline,1/4,PL,20,3,EA,1,0.38,active,
HHCS-5/16-18x3/4-SS,"Hex Cap Screw 5/16""-18 x 3/4"" 18-8 Stainless",hex_cap_screw,Torqline,5/16,SS,18,3/4,EA,1,0.77,active,
HHCS-5/16-18x3/4-ZP,"Hex Cap Screw 5/16""-18 x 3/4"" Zinc Plated",hex_cap_screw,Torqline,5/16,ZP,18,3/4,EA,1,0.33,active,
HHCS-5/16-18x3/4-PL,"Hex Cap Screw 5/16""-18 x 3/4"" Plain Steel",hex_cap_screw,Torqline,5/16,PL,18,3/4,EA,1,0.29,active,
HHCS-5/16-18x1-SS,"Hex Cap Screw 5/16""-18 x 1"" 18-8 Stainless",hex_cap_screw,Torqline,5/16,SS,18,1,EA,1,0.82,active,
HHCS-5/16-18x1-ZP,"Hex Cap Screw 5/16""-18 x 1"" Zinc Plated",hex_cap_screw,Torqline,5/16,ZP,18,1,EA,1,0.30,active,
HHCS-5/16-18x1-PL,"Hex Cap Screw 5/16""-18 x 1"" Plain Steel",hex_cap_screw,Torqline,5/16,PL,18,1,EA,1,0.28,active,
HHCS-5/16-18x1-1/4-SS,"Hex Cap Screw 5/16""-18 x 1-1/4"" 18-8 Stainless",hex_cap_screw,Torqline,5/16,SS,18,1-1/4,EA,1,0.96,active,
HHCS-5/16-18x1-1/4-ZP,"Hex Cap Screw 5/16""-18 x 1-1/4"" Zinc Plated",hex_cap_screw,Torqline,5/16,ZP,18,1-1/4,EA,1,0.41,active,
HHCS-5/16-18x1-1/4-PL,"Hex Cap Screw 5/16""-18 x 1-1/4"" Plain Steel",hex_cap_screw,Torqline,5/16,PL,18,1-1/4,EA,1,0.32,active,
HHCS-5/16-18x1-1/2-SS,"Hex Cap Screw 5/16""-18 x 1-1/2"" 18-8 Stainless",hex_cap_screw,Torqline,5/16,SS,18,1-1/2,EA,1,1.12,active,
HHCS-5/16-18x1-1/2-ZP,"Hex Cap Screw 5/16""-18 x 1-1/2"" Zinc Plated",hex_cap_screw,Torqline,5/16,ZP,18,1-1/2,EA,1,0.37,active,
HHCS-5/16-18x1-1/2-PL,"Hex Cap Screw 5/16""-18 x 1-1/2"" Plain Steel",hex_cap_screw,Torqline,5/16,PL,18,1-1/2,EA,1,0.33,active,
HHCS-5/16-18x2-SS,"Hex Cap Screw 5/16""-18 x 2"" 18-8 Stainless",hex_cap_screw,Torqline,5/16,SS,18,2,EA,1,1.34,active,
HHCS-5/16-18x2-ZP,"Hex Cap Screw 5/16""-18 x 2"" Zinc Plated",hex_cap_screw,Torqline,5/16,ZP,18,2,EA,1,0.42,active,
HHCS-5/16-18x2-PL,"Hex Cap Screw 5/16""-18 x 2"" Plain Steel",hex_cap_screw,Torqline,5/16,PL,18,2,EA,1,0.43,active,
HHCS-5/16-18x2-1/2-SS,"Hex Cap Screw 5/16""-18 x 2-1/2"" 18-8 Stainless",hex_cap_screw,Torqline,5/16,SS,18,2-1/2,EA,1,1.55,active,
HHCS-5/16-18x2-1/2-ZP,"Hex Cap Screw 5/16""-18 x 2-1/2"" Zinc Plated",hex_cap_screw,Torqline,5/16,ZP,18,2-1/2,EA,1,0.53,active,
HHCS-5/16-18x2-1/2-PL,"Hex Cap Screw 5/16""-18 x 2-1/2"" Plain Steel",hex_cap_screw,Torqline,5/16,PL,18,2-1/2,EA,1,0.42,active,
HHCS-5/16-18x3-SS,"Hex Cap Screw 5/16""-18 x 3"" 18-8 Stainless",hex_cap_screw,Torqline,5/16,SS,18,3,EA,1,1.62,active,
HHCS-5/16-18x3-ZP,"Hex Cap Screw 5/16""-18 x 3""  Zinc Plated",hex_cap_screw,Torqline,5/16,ZP,18,3,EA,1,0.65,active,
HHCS-5/16-18x3-PL,"Hex Cap Screw 5/16""-18 x 3"" Plain Steel",hex_cap_screw,Torqline,5/16,PL,18,3,EA,1,0.45,active,
HHCS-3/8-16x3/4-SS,"Hex Cap Screw 3/8""-16 x 3/4"" 18-8 Stainless",hex_cap_screw,Torqline,3/8,SS,16,3/4,EA,1,0.92,active,
HHCS-3/8-16x3/4-ZP,"Hex Cap Screw 3/8""-16 x 3/4"" Zinc Plated",hex_cap_screw,Torqline,3/8,ZP,16,3/4,EA,1,0.39,active,
HHCS-3/8-16x3/4-PL,"Hex Cap Screw 3/8""-16 x 3/4"" Plain Steel",hex_cap_screw,Torqline,3/8,PL,16,3/4,EA,1,0.30,active,
HHCS-3/8-16x1-SS,"Hex Cap Screw 3/8""-16 x 1"" 18-8 Stainless",hex_cap_screw,Torqline,3/8,SS,16,1,EA,1,1.01,active,
HHCS-3/8-16x1-ZP,"Hex Cap Screw 3/8""-16 x 1"" Zinc Plated",hex_cap_screw,Torqline,3/8,ZP,16,1,EA,1,0.42,active,
HHCS-3/8-16x1-PL,"Hex Cap Screw 3/8""-16 x 1"" Plain Steel",hex_cap_screw,Torqline,3/8,PL,16,1,EA,1,0.30,active,
HHCS-3/8-16x1-1/4-SS,"Hex Cap Screw 3/8""-16 x 1-1/4"" 18-8 Stainless",hex_cap_screw,Torqline,3/8,SS,16,1-1/4,EA,1,1.08,active,
HHCS-3/8-16x1-1/4-ZP,"Hex Cap Screw 3/8""-16 x 1-1/4"" Zinc Plated",hex_cap_screw,Torqline,3/8,ZP,16,1-1/4,EA,1,0.45,active,
HHCS-3/8-16x1-1/4-PL,"Hex Cap Screw 3/8""-16 x 1-1/4"" Plain Steel",hex_cap_screw,Torqline,3/8,PL,16,1-1/4,EA,1,0.41,active,
HHCS-3/8-16x1-1/2-SS,"Hex Cap Screw 3/8""-16 x 1-1/2"" 18-8 Stainless",hex_cap_screw,Torqline,3/8,SS,16,1-1/2,EA,1,1.30,active,
HHCS-3/8-16x1-1/2-ZP,"Hex Cap Screw 3/8""-16 x 1-1/2"" Zinc Plated",hex_cap_screw,Torqline,3/8,ZP,16,1-1/2,EA,1,0.49,active,
HHCS-3/8-16x1-1/2-PL,"Hex Cap Screw 3/8""-16 x 1-1/2"" Plain Steel",hex_cap_screw,Torqline,3/8,PL,16,1-1/2,EA,1,0.41,active,
HHCS-3/8-16x2-SS,"Hex Cap Screw 3/8"" x 2"" 18-8 Stainless",hex_cap_screw,Torqline,3/8,SS,16,2,EA,1,1.31,active,
HHCS-3/8-16x2-ZP,"Hex Cap Screw 3/8""-16 x 2"" Zinc Plated",hex_cap_screw,Torqline,3/8,ZP,16,2,EA,1,0.54,active,
HHCS-3/8-16x2-PL,"Hex Cap Screw 3/8""-16 x 2"" Plain Steel",hex_cap_screw,Torqline,3/8,PL,16,2,EA,1,0.43,active,
HHCS-3/8-16x2-1/2-SS,"Hex Cap Screw 3/8""-16 x 2-1/2"" 18-8 Stainless",hex_cap_screw,Torqline,3/8,SS,16,2-1/2,EA,1,1.78,active,
HHCS-3/8-16x2-1/2-ZP,"Hex Cap Screw 3/8""-16 x 2-1/2"" Zinc Plated",hex_cap_screw,Torqline,3/8,ZP,16,2-1/2,EA,1,0.56,active,
HHCS-3/8-16x2-1/2-PL,"Hex Cap Screw 3/8""-16 x 2-1/2"" Plain Steel",hex_cap_screw,Torqline,3/8,PL,16,2-1/2,EA,1,0.57,active,
HHCS-3/8-16x3-SS,"Hex Cap Screw 3/8""-16 x 3"" 18-8 Stainless",hex_cap_screw,Torqline,3/8,SS,16,3,EA,1,1.82,active,
HHCS-3/8-16x3-ZP,"Hex Cap Screw 3/8""-16 x 3"" Zinc Plated",hex_cap_screw,Torqline,3/8,ZP,16,3,EA,1,0.75,active,
HHCS-3/8-16x3-PL,"Hex Cap Screw 3/8""-16 x 3"" Plain Steel",hex_cap_screw,Torqline,3/8,PL,16,3,EA,1,0.63,active,
HHCS-1/2-13x3/4-SS,"Hex Cap Screw 1/2""-13 x 3/4"" 18-8 Stainless",hex_cap_screw,Torqline,1/2,SS,13,3/4,EA,1,1.18,active,
HHCS-1/2-13x3/4-ZP,"Hex Cap Screw 1/2""-13 x 3/4"" Zinc Plated",hex_cap_screw,Torqline,1/2,ZP,13,3/4,EA,1,0.42,active,
HHCS-1/2-13x3/4-PL,"Hex Cap Screw 1/2""-13 x 3/4"" Plain Steel",hex_cap_screw,Torqline,1/2,PL,13,3/4,EA,1,0.40,active,
HHCS-1/2-13x1-SS,"Hex Cap Screw  1/2""-13 x 1"" 18-8 Stainless",hex_cap_screw,Torqline,1/2,SS,13,1,EA,1,1.29,active,
HHCS-1/2-13x1-ZP,"Hex Cap Screw 1/2""-13 x 1"" Zinc Plated",hex_cap_screw,Torqline,1/2,ZP,13,1,EA,1,0.50,active,
HHCS-1/2-13x1-PL,"Hex Cap Screw 1/2""-13 x 1"" Plain Steel",hex_cap_screw,Torqline,1/2,PL,13,1,EA,1,0.46,active,
HHCS-1/2-13x1-1/4-SS,"Hex Cap Screw 1/2""-13 x 1-1/4"" 18-8 Stainless",hex_cap_screw,Torqline,1/2,SS,13,1-1/4,EA,1,1.45,active,
HHCS-1/2-13x1-1/4-ZP,"Hex Cap Screw 1/2""-13X1-1/4"" Zinc Plated",hex_cap_screw,Torqline,1/2,ZP,13,1-1/4,EA,1,0.59,active,
HHCS-1/2-13x1-1/4-PL,"Hex Cap Screw 1/2""-13 x 1-1/4"" Plain Steel",hex_cap_screw,Torqline,1/2,PL,13,1-1/4,EA,1,0.42,active,
HHCS-1/2-13x1-1/2-SS,"Hex Cap Screw 1/2""-13 x 1-1/2"" 18-8 Stainless",hex_cap_screw,Torqline,1/2,SS,13,1-1/2,EA,1,1.47,active,
HHCS-1/2-13x1-1/2-ZP,"Hex Cap Screw 1/2""-13 x 1-1/2"" Zinc Plated",hex_cap_screw,Torqline,1/2,ZP,13,1-1/2,EA,1,0.63,active,
HHCS-1/2-13x1-1/2-PL,"Hex Cap Screw 1/2""-13 x 1-1/2"" Plain Steel",hex_cap_screw,Torqline,1/2,PL,13,1-1/2,EA,1,0.56,active,
HHCS-1/2-13x2-SS,"Hex Cap Screw 1/2""-13 x 2"" 18-8 Stainless",hex_cap_screw,Torqline,1/2,SS,13,2,EA,1,1.67,active,
HHCS-1/2-13x2-ZP,"Hex Cap Screw 1/2""-13 x 2"" Zinc Plated",hex_cap_screw,Torqline,1/2,ZP,13,2,EA,1,0.62,active,
HHCS-1/2-13x2-PL,"Hex Cap Screw 1/2""-13 x 2"" Plain Steel",hex_cap_screw,Torqline,1/2,PL,13,2,EA,1,0.61,active,
HHCS-1/2-13x2-1/2-SS,"Hex Cap Screw 1/2""-13 x 2-1/2"" 18-8 Stainless",hex_cap_screw,Torqline,1/2,SS,13,2-1/2,EA,1,2.15,active,
HHCS-1/2-13x2-1/2-ZP,"Hex Cap Screw 1/2""-13 x 2-1/2"" Zinc Plated",hex_cap_screw,Torqline,1/2,ZP,13,2-1/2,EA,1,0.77,active,
HHCS-1/2-13x2-1/2-PL,"Hex Cap Screw 1/2""-13 x 2-1/2"" Plain Steel",hex_cap_screw,Torqline,1/2,PL,13,2-1/2,EA,1,0.71,active,
HHCS-1/2-13x3-SS,"Hex Cap Screw 1/2""-13 x 3"" 18-8 Stainless",hex_cap_screw,Torqline,1/2,SS,13,3,EA,1,2.25,active,
HHCS-1/2-13x3-ZP,"Hex Cap Screw 1/2""-13 x 3"" Zinc Plated",hex_cap_screw,Torqline,1/2,ZP,13,3,EA,1,0.89,active,
HHCS-1/2-13x3-PL,"Hex Cap Screw 1/2""-13 x 3"" Plain Steel",hex_cap_screw,Torqline,1/2,PL,13,3,EA,1,0.73,active,
HHCS-5/8-11x3/4-SS,"Hex Cap Screw 5/8""-11 x 3/4"" 18-8 Stainless",hex_cap_screw,Torqline,5/8,SS,11,3/4,EA,1,1.55,active,
HHCS-5/8-11x3/4-ZP,Hex Cap Screw 5/8 IN-11 x 3/4 IN Zinc Plated,hex_cap_screw,Torqline,5/8,ZP,11,3/4,EA,1,0.53,active,
HHCS-5/8-11x3/4-PL,"Hex Cap Screw 5/8""-11 x 3/4"" Plain Steel",hex_cap_screw,Torqline,5/8,PL,11,3/4,EA,1,0.43,active,
HHCS-5/8-11x1-SS,"Hex Cap Screw 5/8""-11 x 1"" 18-8 Stainless",hex_cap_screw,Torqline,5/8,SS,11,1,EA,1,1.40,active,
HHCS-5/8-11x1-ZP,"Hex Cap Screw 5/8""-11 x 1"" Zinc Plated",hex_cap_screw,Torqline,5/8,ZP,11,1,EA,1,0.65,active,
HHCS-5/8-11x1-PL,"Hex Cap Screw 5/8""-11 x 1"" Plain Steel",hex_cap_screw,Torqline,5/8,PL,11,1,EA,1,0.47,active,
HHCS-5/8-11x1-1/4-SS,"Hex Cap Screw 5/8""-11 x 1-1/4"" 18-8 Stainless",hex_cap_screw,Torqline,5/8,SS,11,1-1/4,EA,1,1.92,active,
HHCS-5/8-11x1-1/4-ZP,"Hex Cap Screw 5/8""-11 x 1-1/4"" Zinc Plated",hex_cap_screw,Torqline,5/8,ZP,11,1-1/4,EA,1,0.70,active,
HHCS-5/8-11x1-1/4-PL,"Hex Cap Screw 5/8""-11 x 1-1/4"" Plain Steel",hex_cap_screw,Torqline,5/8,PL,11,1-1/4,EA,1,0.61,active,
HHCS-5/8-11x1-1/2-SS,"Hex Cap Screw 5/8""-11 x 1-1/2"" 18-8 Stainless",hex_cap_screw,Torqline,5/8,SS,11,1-1/2,EA,1,1.76,active,
HHCS-5/8-11x1-1/2-ZP,"Hex Cap Screw 5/8""-11 x 1-1/2"" Zinc Plated",hex_cap_screw,Torqline,5/8,ZP,11,1-1/2,EA,1,0.74,active,
HHCS-5/8-11x1-1/2-PL,"Hex Cap Screw 5/8""-11 x 1-1/2"" Plain Steel",hex_cap_screw,Torqline,5/8,PL,11,1-1/2,EA,1,0.56,active,
HHCS-5/8-11x2-SS,"Hex Cap Screw 5/8""-11 x 2"" 18-8 Stainless",hex_cap_screw,Torqline,5/8,SS,11,2,EA,1,2.26,active,
HHCS-5/8-11x2-ZP,"Hex Cap Screw 5/8""-11 x 2"" Zinc Plated",hex_cap_screw,Torqline,5/8,ZP,11,2,EA,1,0.83,active,
HHCS-5/8-11x2-PL,"Hex Cap Screw 5/8""-11 x 2"" Plain Steel",hex_cap_screw,Torqline,5/8,PL,11,2,EA,1,0.64,active,
HHCS-5/8-11x2-1/2-SS,Hex Cap Screw 5/8 IN-11 x 2-1/2 IN 18-8 Stainless,hex_cap_screw,Torqline,5/8,SS,11,2-1/2,EA,1,2.44,active,
HHCS-5/8-11x2-1/2-ZP,"Hex Cap Screw 5/8""-11 x 2-1/2"" Zinc Plated",hex_cap_screw,Torqline,5/8,ZP,11,2-1/2,EA,1,1.00,active,
HHCS-5/8-11x2-1/2-PL,"Hex Cap Screw 5/8""-11 x 2-1/2"" Plain Steel",hex_cap_screw,Torqline,5/8,PL,11,2-1/2,EA,1,0.81,active,
HHCS-5/8-11x3-SS,"Hex Cap Screw 5/8""-11 x 3"" 18-8 Stainless",hex_cap_screw,Torqline,5/8,SS,11,3,EA,1,2.48,active,
HHCS-5/8-11x3-ZP,"Hex Cap Screw 5/8""-11 x 3"" Zinc Plated",hex_cap_screw,Torqline,5/8,ZP,11,3,EA,1,1.03,active,
HHCS-5/8-11x3-PL,"Hex Cap Screw 5/8""-11 x 3"" Plain Steel",hex_cap_screw,Torqline,5/8,PL,11,3,EA,1,0.98,active,
HHCS-3/4-10x3/4-SS,"Hex Cap Screw 3/4""-10 x 3/4"" 18-8 Stainless",hex_cap_screw,Torqline,3/4,SS,10,3/4,EA,1,1.87,active,
HHCS-3/4-10x3/4-ZP,"Hex Cap Screw 3/4""-10 x 3/4"" Zinc Plated",hex_cap_screw,Torqline,3/4,ZP,10,3/4,EA,1,0.72,active,
HHCS-3/4-10x3/4-PL,"Hex Cap Screw 3/4""-10X3/4"" Plain Steel",hex_cap_screw,Torqline,3/4,PL,10,3/4,EA,1,0.54,active,
HHCS-3/4-10x1-SS,"Hex Cap Screw 3/4""-10 x 1"" 18-8 Stainless",hex_cap_screw,Torqline,3/4,SS,10,1,EA,1,1.90,active,
HHCS-3/4-10x1-ZP,"Hex Cap Screw 3/4""-10 x 1"" Zinc Plated",hex_cap_screw,Torqline,3/4,ZP,10,1,EA,1,0.67,active,
HHCS-3/4-10x1-PL,"Hex Cap Screw 3/4""-10 x 1"" Plain Steel",hex_cap_screw,Torqline,3/4,PL,10,1,EA,1,0.57,active,
HHCS-3/4-10x1-1/4-SS,"Hex Cap Screw 3/4"" x 1-1/4"" 18-8 Stainless",hex_cap_screw,Torqline,3/4,SS,10,1-1/4,EA,1,1.85,active,
HHCS-3/4-10x1-1/4-ZP,"Hex Cap Screw 3/4""-10 x 1-1/4"" Zinc Plated",hex_cap_screw,Torqline,3/4,ZP,10,1-1/4,EA,1,0.78,active,
HHCS-3/4-10x1-1/4-PL,"Hex Cap Screw 3/4""-10 x 1-1/4"" Plain Steel",hex_cap_screw,Torqline,3/4,PL,10,1-1/4,EA,1,0.69,active,
HHCS-3/4-10x1-1/2-SS,"HEX CAP SCREW 3/4""-10 X 1-1/2"" 18-8 STAINLESS",hex_cap_screw,Torqline,3/4,SS,10,1-1/2,EA,1,2.28,active,
HHCS-3/4-10x1-1/2-ZP,"Hex Cap Screw 3/4""-10 x 1-1/2"" Zinc Plated",hex_cap_screw,Torqline,3/4,ZP,10,1-1/2,EA,1,0.77,active,
HHCS-3/4-10x1-1/2-PL,"Hex Cap Screw 3/4""-10 x 1-1/2"" Plain Steel",hex_cap_screw,Torqline,3/4,PL,10,1-1/2,EA,1,0.76,active,
HHCS-3/4-10x2-SS,"Hex Cap Screw 3/4""-10 x 2"" 18-8 Stainless",hex_cap_screw,Torqline,3/4,SS,10,2,EA,1,2.44,active,
HHCS-3/4-10x2-ZP,"Hex Cap Screw 3/4""-10 x 2"" Zinc Plated",hex_cap_screw,Torqline,3/4,ZP,10,2,EA,1,1.02,active,
HHCS-3/4-10x2-PL,"Hex Cap Screw 3/4""-10 x 2"" Plain Steel",hex_cap_screw,Torqline,3/4,PL,10,2,EA,1,0.85,active,
HHCS-3/4-10x2-1/2-SS,"Hex Cap Screw 3/4""-10 x 2-1/2"" 18-8 Stainless",hex_cap_screw,Torqline,3/4,SS,10,2-1/2,EA,1,2.94,active,
HHCS-3/4-10x2-1/2-ZP,"Hex Cap Screw 3/4""-10 x 2-1/2"" Zinc Plated",hex_cap_screw,Torqline,3/4,ZP,10,2-1/2,EA,1,0.99,active,
HHCS-3/4-10x2-1/2-PL,"Hex Cap Screw 3/4""-10 x 2-1/2"" Plain Steel",hex_cap_screw,Torqline,3/4,PL,10,2-1/2,EA,1,1.04,active,
HHCS-3/4-10x3-SS,"Hex Cap Screw 3/4""-10 x 3"" 18-8 Stainless",hex_cap_screw,Torqline,3/4,SS,10,3,EA,1,3.52,active,
HHCS-3/4-10x3-ZP,"Hex Cap Screw 3/4""-10 x 3"" Zinc Plated",hex_cap_screw,Torqline,3/4,ZP,10,3,EA,1,1.11,active,
HHCS-3/4-10x3-PL,"Hex Cap Screw 3/4""-10 x 3"" Plain Steel",hex_cap_screw,Torqline,3/4,PL,10,3,EA,1,1.08,active,
HHCS-1/2-13x4-ZP,"Hex Cap Screw 1/2""-13 x 4"" Zinc Plated",hex_cap_screw,Torqline,1/2,ZP,13,4,EA,1,1.23,active,
HHCS-1/2-13x4-SS,"Hex Cap Screw 1/2""-13 x 4"" 18-8 Stainless",hex_cap_screw,Torqline,1/2,SS,13,4,EA,1,3.06,active,
HHCS-3/8-16x4-ZP,"Hex Cap Screw 3/8""-16 x 4"" Zinc Plated",hex_cap_screw,Torqline,3/8,ZP,16,4,EA,1,1.01,active,
HHCS-3/4-10x5-PL,"Hex Cap Screw 3/4""-10 x 5"" Plain Steel",hex_cap_screw,Torqline,3/4,PL,10,5,EA,1,1.52,active,
HHCS-1/4-20x1/2-ZP,"Hex Cap Screw 1/4""-20 x 1/2"" Zinc Plated",hex_cap_screw,Torqline,1/4,ZP,20,1/2,EA,1,0.29,active,
HHCS-1/4-20x1/2-SS,"Hex Cap Screw 1/4""-20 x 1/2"" 18-8 Stainless",hex_cap_screw,Torqline,1/4,SS,20,1/2,EA,1,0.71,active,
HB-M10-1.5x25-8.8,Hex Bolt M10-1.5 x 25mm Class 8.8 Zinc DIN 931,hex_bolt_metric,Torqline,M10,8.8,1.5,25,EA,1,0.30,active,
HB-M10-1.5x25-A2,Hex Bolt M10-1.5 x 25mm A2 Stainless DIN 931,hex_bolt_metric,Torqline,M10,A2,1.5,25,EA,1,0.61,active,
HB-M10-1.5x40-8.8,Hex Bolt M10-1.5 x 40mm Class 8.8 Zinc DIN 931,hex_bolt_metric,Torqline,M10,8.8,1.5,40,EA,1,0.37,active,
HB-M10-1.5x40-A2,Hex Bolt M10-1.5 x 40mm A2 Stainless DIN 931,hex_bolt_metric,Torqline,M10,A2,1.5,40,EA,1,0.94,active,
HB-M10-1.5x50-8.8,Hex Bolt M10-1.5 x 50mm Class 8.8 Zinc DIN 931,hex_bolt_metric,Torqline,M10,8.8,1.5,50,EA,1,0.44,active,
HB-M10-1.5x50-A2,Hex Bolt M10-1.5 x 50mm A2 Stainless DIN 931,hex_bolt_metric,Torqline,M10,A2,1.5,50,EA,1,0.89,active,
HB-M10-1.5x60-8.8,Hex Bolt M10-1.5 x 60mm Class 8.8 Zinc DIN 931,hex_bolt_metric,Torqline,M10,8.8,1.5,60,EA,1,0.47,active,
HB-M10-1.5x60-A2,Hex Bolt M10-1.5 x 60mm A2 Stainless DIN 931,hex_bolt_metric,Torqline,M10,A2,1.5,60,EA,1,1.13,active,
HB-M12-1.75x25-8.8,Hex Bolt M12-1.75 x 25mm Class 8.8 Zinc DIN 931,hex_bolt_metric,Torqline,M12,8.8,1.75,25,EA,1,0.32,active,
HB-M12-1.75x25-A2,Hex Bolt M12-1.75 x 25mm A2 Stainless DIN 931,hex_bolt_metric,Torqline,M12,A2,1.75,25,EA,1,0.91,active,
HB-M12-1.75x40-8.8,Hex Bolt M12-1.75X40mm Class 8.8 Zinc DIN 931,hex_bolt_metric,Torqline,M12,8.8,1.75,40,EA,1,0.50,active,
HB-M12-1.75x40-A2,Hex Bolt M12-1.75 x 40mm A2 Stainless DIN 931,hex_bolt_metric,Torqline,M12,A2,1.75,40,EA,1,1.23,active,
HB-M12-1.75x50-8.8,Hex Bolt M12-1.75X50mm Class 8.8 Zinc DIN 931,hex_bolt_metric,Torqline,M12,8.8,1.75,50,EA,1,0.56,active,
HB-M12-1.75x50-A2,Hex Bolt M12-1.75 x 50mm A2 Stainless DIN 931,hex_bolt_metric,Torqline,M12,A2,1.75,50,EA,1,1.23,active,
HB-M12-1.75x60-8.8,Hex Bolt M12-1.75 x 60mm Class 8.8 Zinc DIN 931,hex_bolt_metric,Torqline,M12,8.8,1.75,60,EA,1,0.60,active,
HB-M12-1.75x60-A2,Hex Bolt M12-1.75 x 60mm A2 Stainless DIN  931,hex_bolt_metric,Torqline,M12,A2,1.75,60,EA,1,1.48,active,
HB-M16-2.0x25-8.8,Hex Bolt M16-2.0 x 25mm Class 8.8  Zinc DIN 931,hex_bolt_metric,Torqline,M16,8.8,2.0,25,EA,1,0.49,active,
HB-M16-2.0x25-A2,Hex Bolt M16-2.0 x 25mm A2 Stainless DIN 931,hex_bolt_metric,Torqline,M16,A2,2.0,25,EA,1,1.36,active,
HB-M16-2.0x40-8.8,Hex Bolt M16-2.0 x 40mm Class 8.8 Zinc DIN 931,hex_bolt_metric,Torqline,M16,8.8,2.0,40,EA,1,0.75,active,
HB-M16-2.0x40-A2,Hex Bolt M16-2.0 x 40mm A2 Stainless DIN  931,hex_bolt_metric,Torqline,M16,A2,2.0,40,EA,1,1.60,active,
HB-M16-2.0x50-8.8,Hex Bolt M16-2.0 x 50mm Class 8.8 Zinc DIN 931,hex_bolt_metric,Torqline,M16,8.8,2.0,50,EA,1,0.87,active,
